utc,jdut,x_km,y_km,z_km
2026-Apr-02 01:58:00.0000,2461132.581944444,-24510.23826854431,-14465.59278336019,-1296.568727088889
2026-Apr-02 01:59:00.0000,2461132.582638889,-24619.17863826417,-14697.01881380733,-1316.660981540933
2026-Apr-02 02:00:00.0000,2461132.583333333,-24726.59704823027,-14927.53623785131,-1336.668397463028
2026-Apr-02 02:01:00.0000,2461132.584027778,-24832.49214960451,-15157.14522085406,-1356.586777302944
2026-Apr-02 02:02:00.0000,2461132.584722222,-24937.06853868234,-15385.90471747847,-1376.447666539191
2026-Apr-02 02:03:00.0000,2461132.585416667,-25040.43386261622,-15613.83978604819,-1396.265932234129
2026-Apr-02 02:04:00.0000,2461132.586111111,-25142.29789089915,-15840.87956966373,-1415.987850686011
2026-Apr-02 02:05:00.0000,2461132.586805556,-25242.70699820587,-16067.03512467613,-1435.617924511915
2026-Apr-02 02:06:00.0000,2461132.5875,-25341.77890716229,-16292.33631819909,-1455.173088121402
2026-Apr-02 02:07:00.0000,2461132.588194444,-25439.53877442433,-16516.79019228878,-1474.654393203115
2026-Apr-02 02:08:00.0000,2461132.588888889,-25535.98749606481,-16740.39510359969,-1494.058784317706
2026-Apr-02 02:09:00.0000,2461132.589583333,-25631.14928122229,-16963.15769369537,-1513.38733682342
2026-Apr-02 02:10:00.0000,2461132.590277778,-25725.04918592953,-17185.0849740022,-1532.641362026827
2026-Apr-02 02:11:00.0000,2461132.590972222,-25817.70724056925,-17406.18245302606,-1551.821387906528
2026-Apr-02 02:12:00.0000,2461132.591666667,-25909.1423904824,-17626.45555370541,-1570.927838675653
2026-Apr-02 02:13:00.0000,2461132.592361111,-25999.37370791808,-17845.90970859404,-1589.961239552428
2026-Apr-02 02:14:00.0000,2461132.593055556,-26088.41980096057,-18064.55031024463,-1608.922112496637
2026-Apr-02 02:15:00.0000,2461132.59375,-26176.29872133155,-18282.38270121508,-1627.810957617878
2026-Apr-02 02:16:00.0000,2461132.594444444,-26263.02807831068,-18499.41218107806,-1646.628270053639
2026-Apr-02 02:17:00.0000,2461132.595138889,-26348.62505638929,-18715.64400539825,-1665.374540455121
2026-Apr-02 02:18:00.0000,2461132.595833333,-26433.10642767701,-18931.08338501098,-1684.050254688479
2026-Apr-02 02:19:00.0000,2461132.596527778,-26516.48856499729,-19145.73548536415,-1702.655893759271
2026-Apr-02 02:20:00.0000,2461132.597222222,-26598.78745498617,-19359.60542594309,-1721.191933837516
2026-Apr-02 02:21:00.0000,2461132.597916667,-26680.01871041773,-19572.69827980009,-1739.658846245749
2026-Apr-02 02:22:00.0000,2461132.598611111,-26760.19758203873,-19785.0190731711,-1758.057097453363
2026-Apr-02 02:23:00.0000,2461132.599305556,-26839.33896993537,-19996.57278517222,-1776.387149076782
2026-Apr-02 02:24:00.0000,2461132.6,-26917.45743445469,-20207.36434756936,-1794.649457884849
2026-Apr-02 02:25:00.0000,2461132.600694444,-26994.56720670066,-20417.39864461495,-1812.844475809043
2026-Apr-02 02:26:00.0000,2461132.601388889,-27070.68219862567,-20626.68051294618,-1830.972649957946
2026-Apr-02 02:27:00.0000,2461132.602083333,-27145.81601273485,-20835.2147415391,-1849.034422635807
2026-Apr-02 02:28:00.0000,2461132.602777778,-27219.98195142192,-21043.00607171449,-1867.030231364439
2026-Apr-02 02:29:00.0000,2461132.603472222,-27293.19302595258,-21250.05919719028,-1884.960508908549
2026-Apr-02 02:30:00.0000,2461132.604166667,-27365.46196511162,-21456.37876417698,-1902.82568330381
2026-Apr-02 02:31:00.0000,2461132.604861111,-27436.80122352872,-21661.96937151206,-1920.626177887633
2026-Apr-02 02:32:00.0000,2461132.605555556,-27507.22298969701,-21866.83557082983,-1938.362411332278
2026-Apr-02 02:33:00.0000,2461132.60625,-27576.73919369807,-22070.98186676368,-1956.034797679977
2026-Apr-02 02:34:00.0000,2461132.606944445,-27645.36151464634,-22274.41271717758,-1973.643746380027
2026-Apr-02 02:35:00.0000,2461132.607638889,-27713.10138786462,-22477.13253342412,-1991.18966232749
2026-Apr-02 02:36:00.0000,2461132.608333333,-27779.97001180279,-22679.14568062669,-2008.672945903375
2026-Apr-02 02:37:00.0000,2461132.609027778,-27845.97835471042,-22880.45647798313,-2026.0939930161
2026-Apr-02 02:38:00.0000,2461132.609722222,-27911.13716107378,-23081.06919908903,-2043.453195144139
2026-Apr-02 02:39:00.0000,2461132.610416667,-27975.45695782721,-23280.98807227852,-2060.750939379535
2026-Apr-02 02:40:00.0000,2461132.611111111,-28038.94806034832,-23480.21728098062,-2077.987608472398
2026-Apr-02 02:41:00.0000,2461132.611805555,-28101.62057824597,-23678.76096408967,-2095.163580876027
2026-Apr-02 02:42:00.0000,2461132.6125,-28163.4844209496,-23876.62321634797,-2112.279230792663
2026-Apr-02 02:43:00.0000,2461132.613194444,-28224.54930310812,-24073.8080887395,-2129.334928219749
2026-Apr-02 02:44:00.0000,2461132.613888889,-28284.82474980593,-24270.3195888931,-2146.331038996568
2026-Apr-02 02:45:00.0000,2461132.614583333,-28344.32010160381,-24466.16168149404,-2163.267924851232
2026-Apr-02 02:46:00.0000,2461132.615277778,-28403.04451941136,-24661.33828870279,-2180.145943447844
2026-Apr-02 02:47:00.0000,2461132.615972222,-28461.00698919801,-24855.85329057993,-2196.965448433877
2026-Apr-02 02:48:00.0000,2461132.616666667,-28518.21632654873,-25049.7105255162,-2213.726789487575
2026-Apr-02 02:49:00.0000,2461132.617361111,-28574.68118107091,-25242.91379066697,-2230.430312365448
2026-Apr-02 02:50:00.0000,2461132.618055556,-28630.41004065783,-25435.46684238999,-2247.076358949646
2026-Apr-02 02:51:00.0000,2461132.61875,-28685.41123561468,-25627.37339668597,-2263.665267295371
2026-Apr-02 02:52:00.0000,2461132.619444444,-28739.69294265217,-25818.6371296412,-2280.197371678019
2026-Apr-02 02:53:00.0000,2461132.620138889,-28793.26318875295,-26009.26167787142,-2296.673002640247
2026-Apr-02 02:54:00.0000,2461132.620833333,-28846.12985491567,-26199.25063896655,-2313.092487038772
2026-Apr-02 02:55:00.0000,2461132.621527778,-28898.30067978135,-26388.60757193574,-2329.456148090954
2026-Apr-02 02:56:00.0000,2461132.622222222,-28949.78323076478,-26577.33601032307,-2345.764313251526
2026-Apr-02 02:57:00.0000,2461132.622916667,-29000.58472999301,-26765.43953196388,-2362.017357077566
2026-Apr-02 02:58:00.0000,2461132.623611111,-29050.71299165223,-26952.92139422008,-2378.215475614419
2026-Apr-02 02:59:00.0000,2461132.624305556,-29100.17542099719,-27139.78492770601,-2394.358929524225
2026-Apr-02 03:00:00.0000,2461132.625,-29148.9768906367,-27326.03457014415,-2410.448705920375
2026-Apr-02 03:01:00.0000,2461132.625694444,-29197.11275829324,-27511.67960664372,-2426.488945411458
2026-Apr-02 03:02:00.0000,2461132.626388889,-29244.61393136488,-27696.71092420162,-2442.471930505391
2026-Apr-02 03:03:00.0000,2461132.627083333,-29291.49546220443,-27881.12768970115,-2458.395327146614
2026-Apr-02 03:04:00.0000,2461132.627777778,-29337.72626199965,-28064.95392868739,-2474.272973877803
2026-Apr-02 03:05:00.0000,2461132.628472222,-29383.25363643669,-28248.2307537706,-2490.130289334495
2026-Apr-02 03:06:00.0000,2461132.629166667,-29428.23085955826,-28430.86446858531,-2505.903169051922
2026-Apr-02 03:07:00.0000,2461132.629861111,-29472.68548156316,-28612.85231081369,-2521.58853450943
2026-Apr-02 03:08:00.0000,2461132.630555556,-29516.47286606685,-28794.29032900617,-2537.248014441519
2026-Apr-02 03:09:00.0000,2461132.63125,-29559.54720163864,-28975.18719766792,-2552.883661729196
2026-Apr-02 03:10:00.0000,2461132.631944444,-29602.00307980112,-29155.48275083431,-2568.453412972331
2026-Apr-02 03:11:00.0000,2461132.632638889,-29643.87029094534,-29335.19524246571,-2583.969800174949
2026-Apr-02 03:12:00.0000,2461132.633333333,-29685.15443168384,-29514.33054667099,-2599.435214610226
2026-Apr-02 03:13:00.0000,2461132.634027778,-29725.86123975036,-29692.89175376491,-2614.85003708865
2026-Apr-02 03:14:00.0000,2461132.634722222,-29765.99627603312,-29870.88174475188,-2630.214510615506
2026-Apr-02 03:15:00.0000,2461132.635416667,-29805.56505491957,-30048.30344171184,-2645.528929480877
2026-Apr-02 03:16:00.0000,2461132.636111111,-29844.57299129719,-30225.15968449245,-2660.793546148136
2026-Apr-02 03:17:00.0000,2461132.636805556,-29883.02541888397,-30401.45329106547,-2676.008616001565
2026-Apr-02 03:18:00.0000,2461132.6375,-29920.92758717584,-30577.18704841065,-2691.174390206799
2026-Apr-02 03:19:00.0000,2461132.638194445,-29958.28466422538,-30752.36371492863,-2706.291117290451
2026-Apr-02 03:20:00.0000,2461132.638888889,-29995.10173837579,-30926.98602080424,-2721.35904317528
2026-Apr-02 03:21:00.0000,2461132.639583333,-30031.38294687302,-31101.05669626349,-2736.378427218295
2026-Apr-02 03:22:00.0000,2461132.640277778,-30067.13489599665,-31274.57836264089,-2751.349479637069
2026-Apr-02 03:23:00.0000,2461132.640972222,-30102.35338281478,-31447.5539568807,-2766.272605140573
2026-Apr-02 03:24:00.0000,2461132.641666667,-30137.04215134128,-31619.98613394475,-2781.148065932197
2026-Apr-02 03:25:00.0000,2461132.642361111,-30171.22568466566,-31791.87685636454,-2795.975715623768
2026-Apr-02 03:26:00.0000,2461132.643055555,-30204.53711545441,-31963.24062000002,-2810.762679518301
2026-Apr-02 03:27:00.0000,2461132.64375,-30237.04638257633,-32134.6152845597,-2827.102618920982
2026-Apr-02 03:28:00.0000,2461132.644444444,-30268.82345908244,-32304.93974818639,-2841.842781358115
2026-Apr-02 03:29:00.0000,2461132.645138889,-30300.10301092988,-32474.73317268999,-2856.536214388703
2026-Apr-02 03:30:00.0000,2461132.645833333,-30330.88941078042,-32643.99800441851,-2871.183137345757
2026-Apr-02 03:31:00.0000,2461132.646527778,-30361.18696815284,-32812.73666563671,-2885.783767363779
2026-Apr-02 03:32:00.0000,2461132.647222222,-30390.99993067615,-32980.9515548265,-2900.338319407063
2026-Apr-02 03:33:00.0000,2461132.647916667,-30420.33248531166,-33148.64504698335,-2914.847006297668
2026-Apr-02 03:34:00.0000,2461132.648611111,-30449.18875954452,-33315.8194939088,-2929.310038742946
2026-Apr-02 03:35:00.0000,2461132.649305556,-30477.5728225456,-33482.47722449903,-2943.727625362653
2026-Apr-02 03:36:00.0000,2461132.65,-30505.48868630487,-33648.62054502955,-2958.099972715718
2026-Apr-02 03:37:00.0000,2461132.650694444,-30532.9403067368,-33814.25173943601,-2972.427285326572
2026-Apr-02 03:38:00.0000,2461132.651388889,-30559.93158475892,-33979.37306959123,-2986.709765711134
2026-Apr-02 03:39:00.0000,2461132.652083333,-30586.46636734393,-34143.98677557829,-3000.947614402405
2026-Apr-02 03:40:00.0000,2461132.652777778,-30612.54844854664,-34308.09507596007,-3015.141029975697
2026-Apr-02 03:41:00.0000,2461132.653472222,-30638.18157050603,-34471.70016804495,-3029.290209073473
2026-Apr-02 03:42:00.0000,2461132.654166667,-30663.3694244234,-34634.80422814879,-3043.395346429825
2026-Apr-02 03:43:00.0000,2461132.654861111,-30688.11565156591,-34797.40941217594,-3057.45663492253
2026-Apr-02 03:44:00.0000,2461132.655555556,-30712.42384400306,-34959.51785458269,-3071.474265485153
2026-Apr-02 03:45:00.0000,2461132.65625,-30736.29754581185,-35121.131670567,-3085.448427298046
2026-Apr-02 03:46:00.0000,2461132.656944444,-30759.74025376815,-35282.25295502284,-3099.379307699664
2026-Apr-02 03:47:00.0000,2461132.657638889,-30782.75541826446,-35442.88378310803,-3113.267092237244
2026-Apr-02 03:48:00.0000,2461132.658333333,-30805.34644415779,-35603.02621048501,-3127.111964689213
2026-Apr-02 03:49:00.0000,2461132.659027778,-30827.51669159815,-35762.68227355823,-3140.914107087267
2026-Apr-02 03:50:00.0000,2461132.659722222,-30849.26947683768,-35921.85398970816,-3154.673699738107
2026-Apr-02 03:51:00.0000,2461132.660416667,-30870.60807302159,-36080.54335752207,-3168.390921244896
2026-Apr-02 03:52:00.0000,2461132.661111111,-30891.53571096085,-36238.75235702143,-3182.065948528296
2026-Apr-02 03:53:00.0000,2461132.661805556,-30912.05557988732,-36396.48294988612,-3195.698956847365
2026-Apr-02 03:54:00.0000,2461132.6625,-30932.17082819214,-36553.73707967554,-3209.290119819945
2026-Apr-02 03:55:00.0000,2461132.663194444,-30951.88456414715,-36710.51667204651,-3222.839609442908
2026-Apr-02 03:56:00.0000,2461132.663888889,-30971.19985661056,-36866.82363496794,-3236.347596112029
2026-Apr-02 03:57:00.0000,2461132.664583333,-30990.11973571653,-37022.65985893275,-3249.814248641595
2026-Apr-02 03:58:00.0000,2461132.665277778,-31008.64719354982,-37178.02721716654,-3263.239734283656
2026-Apr-02 03:59:00.0000,2461132.665972222,-31026.78518480542,-37332.92756583327,-3276.624218747087
2026-Apr-02 04:00:00.0000,2461132.666666667,-31044.53662743366,-37487.36274423821,-3289.967866216328
2026-Apr-02 04:01:00.0000,2461132.667361111,-31061.90440327137,-37641.3345750278,-3303.270839369832
2026-Apr-02 04:02:00.0000,2461132.668055556,-31078.89135865914,-37794.84486438681,-3316.533299398252
2026-Apr-02 04:03:00.0000,2461132.66875,-31095.50030504548,-37947.89540223253,-3329.755406022332
2026-Apr-02 04:04:00.0000,2461132.669444445,-31111.73401957765,-38100.48796240638,-3342.937317510639
2026-Apr-02 04:05:00.0000,2461132.670138889,-31127.59524568015,-38252.62430286264,-3356.07919069691
2026-Apr-02 04:06:00.0000,2461132.670833333,-31143.08669362055,-38404.30616585462,-3369.18118099718
2026-Apr-02 04:07:00.0000,2461132.671527778,-31158.21104106357,-38555.53527811804,-3382.243442426708
2026-Apr-02 04:08:00.0000,2461132.672222222,-31172.97093361327,-38706.31335105195,-3395.266127616578
2026-Apr-02 04:09:00.0000,2461132.672916667,-31187.36898534386,-38856.64208089699,-3408.249387830185
2026-Apr-02 04:10:00.0000,2461132.673611111,-31201.40777931945,-39006.52314891108,-3421.193372979262
2026-Apr-02 04:11:00.0000,2461132.674305555,-31215.08986810285,-39155.95822154282,-3434.098231639924
2026-Apr-02 04:12:00.0000,2461132.675,-31228.41777425383,-39304.94895060215,-3446.964111068275
2026-Apr-02 04:13:00.0000,2461132.675694444,-31241.39399081718,-39453.49697342877,-3459.791157215945
2026-Apr-02 04:14:00.0000,2461132.676388889,-31254.02098180054,-39601.60391305824,-3472.579514745246
2026-Apr-02 04:15:00.0000,2461132.677083333,-31266.30118264254,-39749.27137838549,-3485.329327044268
2026-Apr-02 04:16:00.0000,2461132.677777778,-31278.2370006714,-39896.50096432627,-3498.040736241581
2026-Apr-02 04:17:00.0000,2461132.678472222,-31289.83081555411,-40043.29425197614,-3510.713883220944
2026-Apr-02 04:18:00.0000,2461132.679166667,-31301.08497973662,-40189.65280876737,-3523.348907635576
2026-Apr-02 04:19:00.0000,2461132.679861111,-31312.00181887509,-40335.57818862354,-3535.945947922353
2026-Apr-02 04:20:00.0000,2461132.680555556,-31322.5836322585,-40481.07193211196,-3548.505141315783
2026-Apr-02 04:21:00.0000,2461132.68125,-31332.83269322287,-40626.13556659403,-3561.026623861748
2026-Apr-02 04:22:00.0000,2461132.681944444,-31342.75124955716,-40770.77060637338,-3573.510530431095
2026-Apr-02 04:23:00.0000,2461132.682638889,-31352.34152390113,-40914.97855284206,-3585.956994732976
2026-Apr-02 04:24:00.0000,2461132.683333333,-31361.60571413543,-41058.76089462466,-3598.366149328018
2026-Apr-02 04:25:00.0000,2461132.684027778,-31370.54599376393,-41202.11910772022,-3610.738125641386
2026-Apr-02 04:26:00.0000,2461132.684722222,-31379.16451228868,-41345.05465564255,-3623.073053975464
2026-Apr-02 04:27:00.0000,2461132.685416667,-31387.46339557738,-41487.56898955822,-3635.371063522585
2026-Apr-02 04:28:00.0000,2461132.686111111,-31395.44474622394,-41629.66354842288,-3647.63228237743
2026-Apr-02 04:29:00.0000,2461132.686805556,-31403.110643902,-41771.33975911555,-3659.85683754928
2026-Apr-02 04:30:00.0000,2461132.6875,-31410.4631457114,-41912.59903657114,-3672.044854974154
2026-Apr-02 04:31:00.0000,2461132.688194444,-31417.5042865185,-42053.44278391107,-3684.196459526684
2026-Apr-02 04:32:00.0000,2461132.688888889,-31424.23607928952,-42193.87239257214,-3696.311775031902
2026-Apr-02 04:33:00.0000,2461132.689583333,-31430.66051541791,-42333.8892424336,-3708.390924276813
2026-Apr-02 04:34:00.0000,2461132.690277778,-31436.77956504518,-42473.49470194246,-3720.434029021817
2026-Apr-02 04:35:00.0000,2461132.690972222,-31442.59517737603,-42612.69012823717,-3732.441210012015
2026-Apr-02 04:36:00.0000,2461132.691666667,-31448.10928098733,-42751.4768672694,-3744.412586988221
2026-Apr-02 04:37:00.0000,2461132.692361111,-31453.32378413129,-42889.85625392447,-3756.348278698046
2026-Apr-02 04:38:00.0000,2461132.693055556,-31458.24057503328,-43027.82961213977,-3768.248402906594
2026-Apr-02 04:39:00.0000,2461132.69375,-31462.86152218371,-43165.39825502186,-3780.113076407199
2026-Apr-02 04:40:00.0000,2461132.694444444,-31467.18847462485,-43302.56348496185,-3791.942415031821
2026-Apr-02 04:41:00.0000,2461132.695138889,-31471.2232622322,-43439.32659374925,-3803.736533661508
2026-Apr-02 04:42:00.0000,2461132.695833333,-31474.96769599072,-43575.6888626842,-3815.495546236576
2026-Apr-02 04:43:00.0000,2461132.696527778,-31478.42356826607,-43711.65156268829,-3827.219565766647
2026-Apr-02 04:44:00.0000,2461132.697222222,-31481.59265307083,-43847.21595441386,-3838.908704340636
2026-Apr-02 04:45:00.0000,2461132.697916667,-31484.47670632604,-43982.38328835177,-3850.563073136511
2026-Apr-02 04:46:00.0000,2461132.698611111,-31487.0774661178,-44117.15480493779,-3862.182782431022
2026-Apr-02 04:47:00.0000,2461132.699305556,-31489.39665294945,-44251.53173465744,-3873.767941609163
2026-Apr-02 04:48:00.0000,2461132.7,-31491.43596998912,-44385.51529814902,-3885.318659173554
2026-Apr-02 04:49:00.0000,2461132.700694445,-31493.19710331293,-44519.10670630758,-3896.835042753866
2026-Apr-02 04:50:00.0000,2461132.701388889,-31494.68172214379,-44652.30716038494,-3908.317199115969
2026-Apr-02 04:51:00.0000,2461132.702083333,-31495.89147908609,-44785.11785208642,-3919.765234170618
2026-Apr-02 04:52:00.0000,2461132.702777778,-31496.82801035614,-44917.53996366514,-3931.179252982094
2026-Apr-02 04:53:00.0000,2461132.703472222,-31497.49293600849,-45049.57466803795,-3942.559359778666
2026-Apr-02 04:54:00.0000,2461132.704166667,-31497.88786015841,-45181.22312887595,-3953.905657960744
2026-Apr-02 04:55:00.0000,2461132.704861111,-31498.01437120073,-45312.4865006663,-3965.218250106715
2026-Apr-02 04:56:00.0000,2461132.705555555,-31497.87404202457,-45443.36592879053,-3976.49723798002
2026-Apr-02 04:57:00.0000,2461132.70625,-31497.46843022405,-45573.86254969485,-3987.742722544326
2026-Apr-02 04:58:00.0000,2461132.706944444,-31496.79907830567,-45703.97749101314,-3998.954803974484
2026-Apr-02 04:59:00.0000,2461132.707638889,-31495.86751389222,-45833.71187158016,-4010.133581658103
2026-Apr-02 05:00:00.0000,2461132.708333333,-31494.67524992361,-45963.06680144668,-4021.279154197135
2026-Apr-02 05:01:00.0000,2461132.709027778,-31493.22378485363,-46092.04338201876,-4032.39161942043
2026-Apr-02 05:02:00.0000,2461132.709722222,-31491.51460284333,-46220.64270620841,-4043.471074397008
2026-Apr-02 05:03:00.0000,2461132.710416667,-31489.54917395125,-46348.86585850127,-4054.517615442204
2026-Apr-02 05:04:00.0000,2461132.711111111,-31487.32895432083,-46476.71391500632,-4065.531338122411
2026-Apr-02 05:05:00.0000,2461132.711805556,-31484.85538636413,-46604.18794354103,-4076.512337262751
2026-Apr-02 05:06:00.0000,2461132.7125,-31482.12989894285,-46731.28900372805,-4087.460706955731
2026-Apr-02 05:07:00.0000,2461132.713194444,-31479.15390754605,-46858.01814707249,-4098.376540568308
2026-Apr-02 05:08:00.0000,2461132.713888889,-31475.92881446513,-46984.37641703825,-4109.259930748693
2026-Apr-02 05:09:00.0000,2461132.714583333,-31472.45600896581,-47110.36484912653,-4120.110969433623
2026-Apr-02 05:10:00.0000,2461132.715277778,-31468.73686745724,-47235.98447095491,-4130.929747855364
2026-Apr-02 05:11:00.0000,2461132.715972222,-31464.77275365841,-47361.23630233332,-4141.716356548593
2026-Apr-02 05:12:00.0000,2461132.716666667,-31460.56501876178,-47486.12135533954,-4152.470885357347
2026-Apr-02 05:13:00.0000,2461132.717361111,-31456.11500159424,-47610.64063439377,-4163.193423441597
2026-Apr-02 05:14:00.0000,2461132.718055556,-31451.42402877547,-47734.79513633236,-4173.884059284046
2026-Apr-02 05:15:00.0000,2461132.71875,-31446.49341487365,-47858.58585048054,-4184.542880696576
2026-Apr-02 05:16:00.0000,2461132.719444444,-31441.32446255878,-47982.01375872406,-4195.169974826884
2026-Apr-02 05:17:00.0000,2461132.720138889,-31435.91846275353,-48105.07983558031,-4205.765428164708
2026-Apr-02 05:18:00.0000,2461132.720833333,-31430.27669478139,-48227.78504826818,-4216.329326548301
2026-Apr-02 05:19:00.0000,2461132.721527778,-31424.40042651291,-48350.13035677723,-4226.861755170587
2026-Apr-02 05:20:00.0000,2461132.722222222,-31418.29091450915,-48472.11671393594,-4237.362798585356
2026-Apr-02 05:21:00.0000,2461132.722916667,-31411.94940416323,-48593.74506547922,-4247.832540713353
2026-Apr-02 05:22:00.0000,2461132.723611111,-31405.37712983933,-48715.01635011487,-4258.27106484825
2026-Apr-02 05:23:00.0000,2461132.724305556,-31398.57531500975,-48835.93149958937,-4268.678453662655
2026-Apr-02 05:24:00.0000,2461132.725,-31391.54517238958,-48956.49143875288,-4279.054789213846
2026-Apr-02 05:25:00.0000,2461132.725694444,-31384.28790406944,-49076.69708562329,-4289.400152949733
2026-Apr-02 05:26:00.0000,2461132.726388889,-31376.80470164613,-49196.54935144958,-4299.714625714369
2026-Apr-02 05:27:00.0000,2461132.727083333,-31369.09674635108,-49316.04914077444,-4309.998287753755
2026-Apr-02 05:28:00.0000,2461132.727777778,-31361.16520917704,-49435.19735149606,-4320.251218721329
2026-Apr-02 05:29:00.0000,2461132.728472222,-31353.01125100261,-49553.99487492908,-4330.473497683506
2026-Apr-02 05:30:00.0000,2461132.729166667,-31344.63602271496,-49672.44259586494,-4340.665203125103
2026-Apr-02 05:31:00.0000,2461132.729861111,-31336.04066533067,-49790.54139263155,-4350.826412954648
2026-Apr-02 05:32:00.0000,2461132.730555556,-31327.22631011463,-49908.29213715188,-4360.957204509818
2026-Apr-02 05:33:00.0000,2461132.73125,-31318.19407869726,-50025.69569500234,-4371.057654562537
2026-Apr-02 05:34:00.0000,2461132.731944445,-31308.94508318975,-50142.75292547001,-4381.127839324228
2026-Apr-02 05:35:00.0000,2461132.732638889,-31299.48042629781,-50259.46468160946,-4391.167834450898
2026-Apr-02 05:36:00.0000,2461132.733333333,-31289.8012014335,-50375.8318102987,-4401.177715048168
2026-Apr-02 05:37:00.0000,2461132.734027778,-31279.90849282541,-50491.8551522947,-4411.157555676305
2026-Apr-02 05:38:00.0000,2461132.734722222,-31269.80337562727,-50607.53554228791,-4421.107430355099
2026-Apr-02 05:39:00.0000,2461132.735416667,-31259.48691602481,-50722.87380895638,-4431.027412568787
2026-Apr-02 05:40:00.0000,2461132.736111111,-31248.96017134125,-50837.87077501923,-4440.917575270756
2026-Apr-02 05:41:00.0000,2461132.736805555,-31238.22419014081,-50952.52725728919,-4450.777990888437
2026-Apr-02 05:42:00.0000,2461132.7375,-31227.28001233121,-51066.8440667251,-4460.608731327848
2026-Apr-02 05:43:00.0000,2461132.738194444,-31216.12866926421,-51180.822008483,-4470.409867978378
2026-Apr-02 05:44:00.0000,2461132.738888889,-31204.77118383494,-51294.46188196736,-4480.181471717187
2026-Apr-02 05:45:00.0000,2461132.739583333,-31193.20857057964,-51407.76448088115,-4489.923612913935
2026-Apr-02 05:46:00.0000,2461132.740277778,-31181.44183577201,-51520.7305932758,-4499.636361435088
2026-Apr-02 05:47:00.0000,2461132.740972222,-31169.4719775182,-51633.36100160001,-4509.319786648408
2026-Apr-02 05:48:00.0000,2461132.741666667,-31157.29998585027,-51745.65648274858,-4518.973957427348
2026-Apr-02 05:49:00.0000,2461132.742361111,-31144.92684281857,-51857.61780811021,-4528.598942155262
2026-Apr-02 05:50:00.0000,2461132.743055556,-31132.35352258245,-51969.24574361493,-4538.194808729811
2026-Apr-02 05:51:00.0000,2461132.74375,-31119.58099149989,-52080.5410497811,-4547.761624567029
2026-Apr-02 05:52:00.0000,2461132.744444444,-31106.61020821583,-52191.5044817615,-4557.299456605597
2026-Apr-02 05:53:00.0000,2461132.745138889,-31093.44212374915,-52302.13678938933,-4566.80837131089
2026-Apr-02 05:54:00.0000,2461132.745833333,-31080.07768157837,-52412.43871722327,-4576.288434679107
2026-Apr-02 05:55:00.0000,2461132.746527778,-31066.51781772638,-52522.41100459232,-4585.739712241229
2026-Apr-02 05:56:00.0000,2461132.747222222,-31052.76346084363,-52632.05438563997,-4595.162269066986
2026-Apr-02 05:57:00.0000,2461132.747916667,-31038.81553229042,-52741.36958936785,-4604.556169768879
2026-Apr-02 05:58:00.0000,2461132.748611111,-31024.67494621786,-52850.35733967905,-4613.921478505923
2026-Apr-02 05:59:00.0000,2461132.749305556,-31010.3426096478,-52959.01835542059,-4623.258258987611
2026-Apr-02 06:00:00.0000,2461132.75,-30995.81942255157,-53067.35335042594,-4632.566574477551
2026-Apr-02 06:01:00.0000,2461132.750694444,-30981.10627792762,-53175.36303355642,-4641.846487797433
2026-Apr-02 06:02:00.0000,2461132.751388889,-30966.20406187822,-53283.0481087427,-4651.098061330511
2026-Apr-02 06:03:00.0000,2461132.752083333,-30951.11365368478,-53390.40927502543,-4660.32135702539
2026-Apr-02 06:04:00.0000,2461132.752777778,-30935.83592588256,-53497.44722659564,-4669.516436399634
2026-Apr-02 06:05:00.0000,2461132.753472222,-30920.37174433393,-53604.16265283454,-4678.683360543244
2026-Apr-02 06:06:00.0000,2461132.754166667,-30904.72196830093,-53710.55623835297,-4687.822190122424
2026-Apr-02 06:07:00.0000,2461132.754861111,-30888.88745051665,-53816.62866303036,-4696.932985382777
2026-Apr-02 06:08:00.0000,2461132.755555556,-30872.86903725579,-53922.38060205321,-4706.01580615302
2026-Apr-02 06:09:00.0000,2461132.75625,-30856.66756840402,-54027.81272595326,-4715.070711848261
2026-Apr-02 06:10:00.0000,2461132.756944444,-30840.2838775267,-54132.92570064509,-4724.097761473386
2026-Apr-02 06:11:00.0000,2461132.757638889,-30823.71879193644,-54237.72018746338,-4733.097013626459
2026-Apr-02 06:12:00.0000,2461132.758333333,-30806.97313275982,-54342.19684319974,-4742.068526502026
2026-Apr-02 06:13:00.0000,2461132.759027778,-30790.04771500325,-54446.35632013914,-4751.012357894269
2026-Apr-02 06:14:00.0000,2461132.759722222,-30772.94334761792,-54550.19926609591,-4759.928565200411
2026-Apr-02 06:15:00.0000,2461132.760416667,-30755.66083356381,-54653.72632444932,-4768.817205423758
2026-Apr-02 06:16:00.0000,2461132.761111111,-30738.20096987299,-54756.93813417883,-4777.678335176905
2026-Apr-02 06:17:00.0000,2461132.761805556,-30720.56454771192,-54859.83532989892,-4786.512010684932
2026-Apr-02 06:18:00.0000,2461132.7625,-30702.75235244307,-54962.41854189353,-4795.318287788356
2026-Apr-02 06:19:00.0000,2461132.763194445,-30684.7651636856,-55064.68839615012,-4804.097221946289
2026-Apr-02 06:20:00.0000,2461132.763888889,-30666.60375537534,-55166.64551439327,-4812.848868239467
2026-Apr-02 06:21:00.0000,2461132.764583333,-30648.26889582389,-55268.29051411817,-4821.573281373145
