utc,jdut,x_km,y_km,z_km
2026-Apr-04 10:12:00.0000,2461134.925,-104674.3466850019,-229491.800343439,-21560.31366248279
2026-Apr-04 10:13:00.0000,2461134.925694444,-104687.8114321887,-229561.7012647896,-21566.5575321615
2026-Apr-04 10:14:00.0000,2461134.926388889,-104701.2673298776,-229631.5818817144,-21572.79950724939
2026-Apr-04 10:15:00.0000,2461134.927083333,-104714.7143847511,-229701.4422047109,-21579.03958877159
2026-Apr-04 10:16:00.0000,2461134.927777778,-104728.1526034842,-229771.2822442648,-21585.27777775249
2026-Apr-04 10:17:00.0000,2461134.928472222,-104741.581992744,-229841.102010851,-21591.51407521499
2026-Apr-04 10:18:00.0000,2461134.929166667,-104755.00255919,-229910.9015149326,-21597.74848218112
2026-Apr-04 10:19:00.0000,2461134.929861111,-104768.4143094738,-229980.6807669615,-21603.98099967172
2026-Apr-04 10:20:00.0000,2461134.930555556,-104781.8172502395,-230050.4397773781,-21610.2116287066
2026-Apr-04 10:21:00.0000,2461134.93125,-104795.2113881235,-230120.1785566118,-21616.44037030439
2026-Apr-04 10:22:00.0000,2461134.931944444,-104808.5967297544,-230189.8971150803,-21622.66722548258
2026-Apr-04 10:23:00.0000,2461134.932638889,-104821.9732817533,-230259.5954631905,-21628.89219525769
2026-Apr-04 10:24:00.0000,2461134.933333333,-104835.3410507336,-230329.2736113373,-21635.11528064511
2026-Apr-04 10:25:00.0000,2461134.934027778,-104848.7000433011,-230398.9315699051,-21641.33648265895
2026-Apr-04 10:26:00.0000,2461134.934722222,-104862.0502660538,-230468.5693492668,-21647.5558023125
2026-Apr-04 10:27:00.0000,2461134.935416667,-104875.3917255823,-230538.186959784,-21653.77324061778
2026-Apr-04 10:28:00.0000,2461134.936111111,-104888.7244284698,-230607.784411807,-21659.98879858584
2026-Apr-04 10:29:00.0000,2461134.936805556,-104902.0483812915,-230677.3617156753,-21666.20247722643
2026-Apr-04 10:30:00.0000,2461134.9375,-104915.3635906154,-230746.9188817169,-21672.41427754854
